Дата,value
2022-02-08,27.7
2022-02-09,27.75
2022-02-10,27.78
2022-02-11,27.75
2022-02-14,27.85
2022-02-14,28.0
2022-02-15,28.3
2022-02-15,28.1
2022-02-16,28.0
2022-02-17,27.98
2022-02-17,28.05
2022-02-18,28.2
2022-02-21,28.2
2022-02-22,28.42
2022-02-22,28.45
2022-02-23,28.9
2022-02-23,28.98
2022-02-24,29.25
2022-02-24,29.25
2022-02-24,29.2549
2022-02-24,29.2549
2022-02-25,29.2549
2022-02-25,29.2549
2022-03-02,29.2549
2022-03-03,29.2549
2022-03-04,29.2549
2022-03-05,29.2549
2022-03-07,29.2549
2022-03-09,29.2549
2022-03-12,29.2549
2022-03-14,29.2549
2022-03-15,29.2549
2022-03-16,29.2549
2022-03-17,29.2549
2022-03-18,29.2549
2022-03-21,29.2549
2022-03-22,29.2549
2022-03-23,29.2549
2022-03-23,29.2549
2022-03-24,29.2549
2022-03-25,29.2549
2022-03-28,29.2549
2022-03-29,29.2549
2022-03-30,29.2549
2022-03-31,29.2549
2022-04-01,29.2549
2022-04-04,29.2549
2022-04-05,29.2549
2022-04-06,29.2549
2022-04-07,29.2549
2022-04-08,29.2549
2022-04-09,29.2549
2022-04-11,29.2549
2022-04-12,29.2549
2022-04-13,29.2549
2022-04-14,29.2549
2022-04-15,29.2549
2022-04-18,29.2549
2022-04-18,29.2549
2022-04-19,29.5
2022-04-20,29.5
2022-04-21,29.5
2022-04-22,29.8
2022-04-25,29.9
2022-04-26,29.9
2022-04-27,29.9
2022-04-28,31.0
2022-04-29,31.2
2022-05-02,31.3
2022-05-03,31.3
2022-05-04,31.3
2022-05-05,31.4
2022-05-06,31.5
2022-05-09,31.5
2022-05-09,31.5
2022-05-10,31.5
2022-05-11,31.5
2022-05-12,31.5
2022-05-13,31.5
2022-05-16,31.5
2022-05-17,31.5
2022-05-18,31.5
2022-05-19,31.5
2022-05-20,31.5
2022-05-22,31.6
2022-05-24,38.8
2022-05-24,37.0
2022-05-24,37.0
2022-05-24,36.2
2022-05-24,36.2
2022-05-24,36.2
2022-05-25,34.0
2022-05-25,34.0
2022-05-26,34.4
2022-05-26,35.8
2022-05-27,35.7
2022-05-30,35.7
2022-05-30,35.5
2022-05-31,35.3
2022-05-31,35.1
2022-06-01,35.0
2022-06-01,34.75
2022-06-02,34.9
2022-06-03,34.9
2022-06-06,35.0
2022-06-06,34.5
2022-06-07,34.5
2022-06-07,34.5
2022-06-08,34.55
2022-06-09,34.6
2022-06-10,34.7
2022-06-13,34.7
2022-06-13,34.7
2022-06-13,34.7
2022-06-14,34.85
2022-06-15,35.0
2022-06-16,35.2
2022-06-17,35.35
2022-06-20,35.25
2022-06-20,35.0
2022-06-21,35.0
2022-06-22,35.0
2022-06-23,35.0
2022-06-24,35.1
2022-06-26,35.1
2022-06-27,35.1
